OBJECTID,TRAILSYSID,TRAILNAME,ROADNAME,TRAILCLASS,TRAILSURF,TRAILSTAT,PUBACCESS,HIKE,WALK,RUN,INLINSKATE,BIKE,MTNBIKE,MOTORBIKE,ALLTERVEH,SNOWMOBILE,CROSSCSKI,EQUESTRIAN,ADAACCESS,DOGLEASH,DOGUNLEASH,NATURTRAIL,TIMEPERIOD,HORIZACCUR,SPECIALPERMIT,TRAILCOMMENTS,TRAILMARK,Shape__Length
14698,3,Airline Trail - Detour,Cook Hill Rd.,Trail,Paved,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,1602.83580185572
14699,3,Airline Trail - Detour,Village Hill Rd.,Trail,Paved,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,6292.51707826555
14700,3,Airline Trail, ,Trail,Unpaved,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,4183.38689059253
14701,3,Airline Trail, ,Trail,Stone,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,694.540326589594
14702,3,Airline Trail, ,Trail,Unpaved,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,5034.77116405827
14703,3,Airline Trail, ,Trail,Unpaved,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,7076.40302367896
14704,3,Airline Trail, ,Trail,Unpaved,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,3231.96237046004
14705,3,Airline Trail, ,Trail,Stone Dust,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,14738.0771285723
14706,3,Airline Trail, ,Trail,Stone Dust,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,3893.83994359942
14707,3,Airline Trail, ,Trail,Stone,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,1288.14916097175
14708,3,Airline Trail, ,Trail,Stone,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,866.139878240258
14709,3,Airline Trail, ,Trail,Stone Dust,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,1342.5631907423
14710,3,Airline Trail, ,Trail,Stone Dust,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,1871.35976192017
14711,3,Airline Trail, ,Trail,Stone Dust,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,13765.2164932031
14712,3,Airline Trail, ,Trail,Stone Dust,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,2673.03730692116
14713,3,Airline Trail, ,Trail,Stone Dust,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,2687.17170795425
14714,3,Airline Trail, ,Trail,Paved Road,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,785.010309992773
14715,3,Airline Trail, ,Trail,Stone Dust,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,27640.2666167791
14716,201,Colchester Railroad, ,Trail,Stone,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,9312.37185169027
14717,201,Colchester Railroad, ,Trail,Stone Dust,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,3392.71249978624
14718,201,Colchester Railroad, ,Trail,Unpaved Road,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,5829.14266675686
14719,3,Airline Trail, ,Trail,Paved,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,12424.6284181578
14720,3,Airline Trail, ,Trail,Stone Dust,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,10574.2836226708
14721,3,Airline Trail, ,Trail,Unpaved,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,1904.598837246
14722,3,Airline Trail, ,Trail,Stone Dust,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,5745.62056633302
14723,216,Willimantic Flower Bridge, ,Trail,Paved,Constructed,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,716.340543616324
14724,216,Willimantic Pedestrian Bridge, ,Trail,Boardwalk,Constructed,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,809.936996443335
14725,3,Airline Trail,Potter Rd.,Connector Trail,Paved Road,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,1388.45043577757
14726,3,Airline Trail, ,Trail,Unpaved,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,21944.3261314901
14727,3,Two Sister'S Preserve Loop Trail, ,Connector Trail,Unpaved,Constructed,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,,Yellow,834.609721109694
14728,3,Airline Trail, ,Trail,Unpaved,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,18084.6436161847
14729,3,Airline Trail, ,Trail,Unpaved,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Spring 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,4290.59363685716
14730,3,Airline Trail, ,Trail,Unpaved,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Summer 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,11117.9451482302
14731,3,Airline Trail, ,Trail,Unpaved,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Summer 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,17323.7966242633
14732,3,Airline Trail, ,Trail,Unpaved,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Summer 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,6996.59844823436
14733,3,Airline Trail, ,Trail,Unpaved,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Summer 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,6014.22489086316
14734,3,Airline Trail, ,Trail,Unpaved,Constructed,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,Summer 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,7180.77910116751
14735,203,Putnam River Trail, ,Trail,Paved,Constructed,True,True,True,True,True,True,True,False,False,False,False,Unknown,True,True,False,False,Summer 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,3183.87675092463
14736,203,Putnam River Trail, ,Trail,Paved,Constructed,True,True,True,True,True,True,True,False,False,False,False,Unknown,True,True,False,False,Summer 2007,Garmin GPSMAP 76CSx  <33ft 95% Typical,None,, ,4064.18188057708
