LOCATION,LOC_CODE,TRAIL_NAME,REACH,PATH_TYPE,TYPE_CLASS,SURFACE_TYPE,LENGTH_MILE,WIDTH_FT,PRIMARY_USE,JURISDICTION,ACCESSIBILITY,YEAR_BUILT,NOTES,ASSET_CLASS,CLASS_CATEGORY,GIS_ASSET_ID,INFOR_ASSET_ID,FCA_DATE,ASSET_CONDITION
Town Center,558,None,None,1,Park Circulation,Concrete,0.00447437,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71402,107130,2019-01-01 00:00:00,Good
Wallace Park,612,Goldsmith Gulch Trail,None,2,Minor,Concrete,0.20932644,10.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-MNR,73812,105920,2019-01-01 00:00:00,Good
Skyland Park,429,None,None,1,Park Circulation,Concrete,0.00577221,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71274,104048,2019-01-01 00:00:00,Good
Greenway Park,556,None,None,1,Park Circulation,Concrete,0.03369947,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70745,109191,2019-01-01 00:00:00,Good
City of Kunming Park,833,None,None,1,Right of Way Walk,Concrete,0.05508832,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,71598,106396,2019-01-01 00:00:00,Good
Community Plaza Park,042,None,None,1,Park Circulation,Concrete,0.02272604,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71519,104076,2019-01-01 00:00:00,Good
La Alma / Lincoln Park,315,None,None,1,Park Circulation,Concrete,0.01251148,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72750,104216,2019-01-01 00:00:00,Good
Harvard Gulch East,810,None,None,1,Right of Way Walk,Concrete,0.01762485,3.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,74091,105958,2019-01-01 00:00:00,Good
Mayfair,432,None,None,1,Park Circulation,Concrete,0.04162211,6.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72993,109467,2019-01-01 00:00:00,Good
City Park,201,None,None,1,Park Circulation,Concrete,0.0423181,14.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74902,107605,2019-01-01 00:00:00,Good
Cheesman Park,312,None,None,1,Park Circulation,Concrete,0.01016098,6.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,75140,106872,2019-01-01 00:00:00,Good
Fuller Park,205,None,None,1,Park Circulation,Concrete,0.01301459,6.0,None,City & County of Denver,None,2011,None,WLKTRL,WLK-HARD,76088,112437,2019-01-01 00:00:00,Good
Creekfront Park,349,None,None,1,Right of Way Walk,Concrete,0.02146907,12.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,74894,107597,2019-01-01 00:00:00,Good
Highland Senior Center,034,None,None,1,Right of Way Walk,Concrete,0.02878744,6.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,76134,112690,2019-01-01 00:00:00,Good
Montclair Park,408,None,None,1,Park Circulation,Stone,0.00864616,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72926,107338,2018-09-25 00:00:00,Poor
South Platte River Greenway,TRL-SP,South Platte River Trail,None,2,Access/Ramp,Concrete,0.00695554,12.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-RGN,76032,112178,2019-01-01 00:00:00,Good
39th Ave Greenway,229,None,None,1,Right of Way Walk,Concrete,0.01966278,8.0,None,City & County of Denver,None,2020,None,WLKTRL,WLK-HARD,77325,None,2021-05-12 00:00:00,100
Central Park,561,None,None,1,Park Circulation,Concrete,0.11588719,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73495,109529,2019-01-01 00:00:00,Good
Washington Park,711,Smith Lake Loop,None,1,Park Circulation,Asphalt,0.06948799,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74076,105943,2018-09-21 00:00:00,Poor
Great Lawn Park,L07,None,None,1,Park Circulation,Concrete,0.02824667,8.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,75475,109745,2019-01-01 00:00:00,Good
Westerly Creek Park,560,Westerly Creek Trail,None,2,Minor,Concrete,0.08895244,10.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-MNR,74300,105222,2019-01-01 00:00:00,Good
Argo Park,212,None,None,1,Park Circulation,Concrete,0.01290048,8.0,None,City & County of Denver,None,2017,None,WLKTRL,WLK-HARD,76702,None,2019-01-01 00:00:00,80
Sloans Lake Park,019,None,None,1,Park Circulation,Concrete,0.0051879,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73380,107366,2019-01-01 00:00:00,Good
Cuatro Vientos,825,None,None,1,Right of Way Walk,Concrete,0.02962825,5.0,None,City & County of Denver,None,2014,None,WLKTRL,WLK-ROW,76487,114952,2019-01-01 00:00:00,Good
Eastmoor Park,606,None,None,1,Park Circulation,Concrete,0.05210675,8.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,70738,109184,2019-01-01 00:00:00,Good
Platt Park,824,None,None,1,Right of Way Walk,Concrete,0.02251191,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,73090,105839,2019-01-01 00:00:00,Good
Cheesman Park,312,None,None,1,Right of Way Walk,Concrete,0.02374417,5.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-ROW,75696,109067,2019-01-01 00:00:00,Good
Thomas (Fred) Park,L16,None,None,1,Park Circulation,Concrete,0.01612722,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73518,104345,2019-01-01 00:00:00,Good
Hutchinson Park,616,None,None,1,Right of Way Walk,Concrete,0.03827484,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,72523,104982,2018-09-21 00:00:00,Poor
Commons Park,902,None,None,1,Park Circulation,Concrete,0.02011282,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74976,109683,2019-01-01 00:00:00,Good
Washington Park,711,None,None,1,Park Circulation,Crusher Fines,0.01293785,None,None,City & County of Denver,None,2016,None,WLKTRL,WLK-HARD,73923,108187,2019-01-01 00:00:00,Good
Williams Park,225,None,None,1,Park Circulation,Concrete,0.01425859,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74007,104388,2019-01-01 00:00:00,Good
Westwood Park,839,None,None,1,Park Circulation,Concrete,0.02334917,8.0,None,City & County of Denver,None,2018,None,WLKTRL,WLK-ROW,76835,None,2019-01-01 00:00:00,80
Park Ave Parks,317,None,None,1,Right of Way Walk,Concrete,0.00617654,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,76190,113022,2019-01-01 00:00:00,Good
Boyd Park,255,None,None,1,Park Circulation,Asphalt,0.01220437,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73080,105829,2019-01-01 00:00:00,Good
Cheesman Park,312,Cheesman Park Inner Loop,None,1,Park Circulation,Concrete,0.01255192,6.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,75538,105382,2019-01-01 00:00:00,Good
Mount Falcon,M34,Devil's Elbow Trail,None,2,Mountain,Natural Surface,0.21276397,None,None,Jefferson County,None,1978,JCOS Trail Agreement,WLKTRL,TRL-MTN,77098,None,None,None
Argo Park,212,None,None,1,Park Circulation,Concrete,0.17801227,8.0,None,City & County of Denver,None,2017,None,WLKTRL,WLK-HARD,76704,None,2019-01-01 00:00:00,80
Green Valley Ranch West,549,None,None,1,Park Circulation,Concrete,0.02105712,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72004,104132,2019-01-01 00:00:00,Good
Walker (Madme CJ) Park,227,None,None,1,Park Circulation,Concrete,0.01736633,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73751,104360,2019-01-01 00:00:00,Good
